time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,8,3,0,0
2026-05-23 00:00:00+00:00,28,10,0,0
2026-05-24 00:00:00+00:00,25,10,0,0
2026-05-25 00:00:00+00:00,13,5,0,0
2026-05-26 00:00:00+00:00,16,5,0,0
2026-05-27 00:00:00+00:00,12,7,0,0
2026-05-28 00:00:00+00:00,6,1,0,0
2026-05-29 00:00:00+00:00,8,3,0,0
2026-05-30 00:00:00+00:00,34,16,0,0
2026-05-31 00:00:00+00:00,2,2,0,0
2026-06-01 00:00:00+00:00,10,3,0,0
2026-06-02 00:00:00+00:00,13,6,0,0
2026-06-03 00:00:00+00:00,2,2,0,0
2026-06-04 00:00:00+00:00,7,7,0,0
